epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,674.123,0.66839,0.43955,0.92121,0.81172,0.60274,0.70725,0.44448,1.47682,1.64434,1.27862,0.0005348,0.0005348,0.0005348
150,678.595,0.66209,0.42818,0.91319,0.80558,0.56768,0.69012,0.42626,1.47177,1.6617,1.2489,0.0005249,0.0005249,0.0005249
151,682.929,0.63298,0.42453,0.90901,0.93385,0.58018,0.71049,0.44461,1.40606,1.38206,1.24151,0.000515,0.000515,0.000515
152,687.351,0.65671,0.43526,0.90463,0.74658,0.61644,0.69551,0.45627,1.3765,1.47974,1.20687,0.0005051,0.0005051,0.0005051
153,691.921,0.65609,0.43588,0.91192,0.7711,0.53425,0.63803,0.42921,1.35624,1.69695,1.19977,0.0004952,0.0004952,0.0004952
154,696.275,0.63768,0.41594,0.90623,0.79892,0.59874,0.68812,0.43514,1.4655,1.8083,1.28743,0.0004853,0.0004853,0.0004853
155,700.65,0.64698,0.41805,0.90214,0.77141,0.64384,0.69338,0.45166,1.42005,1.48091,1.22601,0.0004754,0.0004754,0.0004754
156,704.977,0.64787,0.42172,0.90638,0.87949,0.64384,0.71703,0.43527,1.45446,1.4529,1.30125,0.0004655,0.0004655,0.0004655
157,709.288,0.63695,0.41623,0.90419,0.85453,0.67123,0.73813,0.46145,1.45095,1.34641,1.27499,0.0004556,0.0004556,0.0004556
158,713.893,0.6332,0.4186,0.91449,0.90274,0.67123,0.7483,0.4671,1.37927,1.32436,1.25582,0.0004457,0.0004457,0.0004457
159,718.303,0.62375,0.41658,0.89839,0.90078,0.62188,0.74487,0.48322,1.38069,1.50139,1.20921,0.0004358,0.0004358,0.0004358
160,722.677,0.62122,0.41177,0.90493,0.84396,0.59279,0.72271,0.45562,1.4682,1.60456,1.22783,0.0004259,0.0004259,0.0004259
161,727.206,0.64276,0.41583,0.90954,0.89093,0.55951,0.69771,0.45641,1.39668,1.5866,1.20389,0.000416,0.000416,0.000416
