epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,26984.8,1.26743,0.6956,1.08082,0.78159,0.6962,0.73694,0.40417,1.36851,0.74225,1.15327,0.0032185,0.0032185,0.0032185
139,27118.3,1.25595,0.68477,1.08047,0.78298,0.69683,0.73695,0.40411,1.36872,0.74225,1.15344,0.003169,0.003169,0.003169
140,27264.7,1.2567,0.68993,1.08032,0.78413,0.69456,0.73688,0.40438,1.36874,0.74204,1.15342,0.0031195,0.0031195,0.0031195
141,27407.9,1.25822,0.68496,1.07973,0.78529,0.6924,0.73661,0.40421,1.36894,0.74107,1.15351,0.00307,0.00307,0.00307
142,27550.3,1.26126,0.68832,1.08391,0.78788,0.69249,0.73768,0.40467,1.36916,0.74041,1.15366,0.0030205,0.0030205,0.0030205
143,27767.4,1.25259,0.68274,1.0735,0.78861,0.69173,0.7379,0.40497,1.36964,0.73971,1.15372,0.002971,0.002971,0.002971
144,27905.5,1.24033,0.67666,1.07604,0.78798,0.69162,0.73769,0.40465,1.37,0.73923,1.15394,0.0029215,0.0029215,0.0029215
145,28053.1,1.24959,0.68084,1.07499,0.78797,0.69082,0.73813,0.40499,1.37003,0.73884,1.1538,0.002872,0.002872,0.002872
146,28189.3,1.23697,0.67529,1.07302,0.78872,0.69095,0.73899,0.40522,1.3705,0.73805,1.15397,0.0028225,0.0028225,0.0028225
147,28346.2,1.2464,0.67676,1.07519,0.78851,0.69214,0.73927,0.40526,1.37084,0.73745,1.1541,0.002773,0.002773,0.002773
148,28505.9,1.23245,0.66845,1.06715,0.78883,0.6926,0.74005,0.40524,1.37117,0.73676,1.1543,0.0027235,0.0027235,0.0027235
149,28641.2,1.2427,0.67204,1.07337,0.78988,0.69249,0.74011,0.4055,1.37133,0.73628,1.15446,0.002674,0.002674,0.002674
150,28773.6,1.23399,0.66549,1.07189,0.79116,0.69359,0.74086,0.40565,1.37106,0.73561,1.15432,0.0026245,0.0026245,0.0026245
151,28909,1.22942,0.66431,1.06816,0.79096,0.69401,0.7413,0.40581,1.37143,0.73528,1.15451,0.002575,0.002575,0.002575
152,29084.5,1.23117,0.66502,1.06695,0.78903,0.69473,0.7413,0.40599,1.3717,0.735,1.15466,0.0025255,0.0025255,0.0025255
153,29216.3,1.23032,0.66208,1.06424,0.78962,0.69428,0.74149,0.40643,1.37165,0.73435,1.15472,0.002476,0.002476,0.002476
154,29362.4,1.21962,0.65461,1.06406,0.79056,0.69449,0.74191,0.40686,1.37251,0.73417,1.15524,0.0024265,0.0024265,0.0024265
155,29492.2,1.22189,0.66042,1.06386,0.79241,0.69462,0.74222,0.40711,1.37286,0.73391,1.15553,0.002377,0.002377,0.002377
156,29629.6,1.21585,0.6594,1.06007,0.79335,0.69476,0.74294,0.40736,1.37342,0.73341,1.1557,0.0023275,0.0023275,0.0023275
157,29763.7,1.21429,0.65529,1.06076,0.79431,0.69516,0.74288,0.40739,1.37347,0.73346,1.15564,0.002278,0.002278,0.002278
158,29918.6,1.22381,0.65364,1.06427,0.79424,0.69467,0.74334,0.40772,1.37362,0.73308,1.15581,0.0022285,0.0022285,0.0022285
159,30085.4,1.2159,0.65119,1.06066,0.79394,0.69554,0.74347,0.40805,1.37358,0.73248,1.15612,0.002179,0.002179,0.002179
160,30211.4,1.20716,0.64897,1.05709,0.79498,0.69661,0.74371,0.40823,1.37354,0.73211,1.15607,0.0021295,0.0021295,0.0021295
161,30319.1,1.20186,0.64598,1.05601,0.7966,0.69523,0.74401,0.40845,1.3733,0.73137,1.15605,0.00208,0.00208,0.00208
162,31747.3,1.21054,0.64363,1.05451,0.79761,0.69606,0.7442,0.40862,1.37336,0.73097,1.15611,0.0020305,0.0020305,0.0020305
163,31881.5,1.19975,0.64398,1.05475,0.79787,0.69672,0.74502,0.40899,1.37289,0.73064,1.15615,0.001981,0.001981,0.001981
164,31987.1,1.20484,0.64056,1.05422,0.79648,0.69821,0.74555,0.40934,1.37302,0.73033,1.15618,0.0019315,0.0019315,0.0019315
165,32203.4,1.19919,0.64015,1.05321,0.79605,0.6994,0.7454,0.40948,1.3733,0.72944,1.15655,0.001882,0.001882,0.001882
166,32351.2,1.20255,0.63961,1.05434,0.79513,0.69928,0.74554,0.40987,1.37335,0.72922,1.15697,0.0018325,0.0018325,0.0018325
